Time, Tag, Workers, Files, Compilation Duration (ms), GC Duration (ms)
2019/12/18 00:41:41,     spark-essentials/main,   1,     1,      1192,         0
2019/12/18 09:33:49,     spark-essentials/main,   1,     1,      4302,       339
2019/12/18 09:38:50,     spark-essentials/main,   1,     1,      2308,         0
2019/12/18 10:13:19,     spark-essentials/main,   1,     1,      2703,         0
2019/12/18 23:28:41,     spark-essentials/main,   1,     1,      3715,       328
2019/12/18 23:31:21,     spark-essentials/main,   1,     1,      1114,         0
2019/12/18 23:32:33,     spark-essentials/main,   1,     1,       952,        13
2019/12/18 23:33:33,     spark-essentials/main,   1,     1,      1434,         0
2019/12/18 23:43:54,     spark-essentials/main,   1,     1,      1246,        14
2019/12/18 23:46:47,     spark-essentials/main,   1,     1,       807,         0
2019/12/18 23:56:55,     spark-essentials/main,   2,     2,      1101,        16
2019/12/18 23:57:44,     spark-essentials/main,   1,     1,       883,        12
2019/12/19 17:57:38,     spark-essentials/main,   1,     1,      4870,       246
2019/12/19 17:58:37,     spark-essentials/main,   1,     1,      1330,        14
2019/12/20 09:38:06,     spark-essentials/main,   1,     1,      1114,        17
2019/12/20 09:43:09,     spark-essentials/main,   1,     1,       686,         0
2019/12/20 09:44:16,     spark-essentials/main,   1,     1,       568,         8
2019/12/20 09:46:42,     spark-essentials/main,   1,     1,       587,        11
2019/12/20 09:58:02,     spark-essentials/main,   1,     1,       308,         0
2019/12/20 10:00:22,     spark-essentials/main,   1,     1,       332,        10
2019/12/20 10:05:45,     spark-essentials/main,   1,     1,       275,         0
2019/12/20 10:12:47,     spark-essentials/main,   1,     1,       383,        11
2019/12/20 10:14:46,     spark-essentials/main,   1,     1,       289,         0
2019/12/20 10:19:53,     spark-essentials/main,   1,     1,       356,         8
2019/12/20 10:21:24,     spark-essentials/main,   1,     1,       391,         0
2019/12/20 10:34:00,     spark-essentials/main,   1,     1,       332,        10
2019/12/20 10:37:16,     spark-essentials/main,   1,     1,       266,         0
2019/12/20 10:42:47,     spark-essentials/main,   1,     1,      2320,       221
2019/12/20 11:06:09,     spark-essentials/main,   1,     1,       719,         0
2019/12/20 16:44:54,     spark-essentials/main,   1,     1,      5070,       395
2019/12/20 18:49:18,     spark-essentials/main,   1,     1,      1402,         0
2019/12/20 18:53:27,     spark-essentials/main,   1,     1,      1710,         0
2019/12/20 19:02:04,     spark-essentials/main,   1,     1,       700,        12
2019/12/20 20:34:15,     spark-essentials/main,   1,     1,       598,         0
2019/12/20 20:36:20,     spark-essentials/main,   1,     1,       676,        10
2019/12/20 20:44:44,     spark-essentials/main,   1,     1,       841,         0
2019/12/20 20:48:48,     spark-essentials/main,   1,     1,      1002,        14
2019/12/20 21:24:07,     spark-essentials/main,   1,     1,       524,         0
2019/12/20 21:26:30,     spark-essentials/main,   1,     1,       599,        29
2019/12/20 21:29:31,     spark-essentials/main,   1,     1,       529,        17
2019/12/20 21:30:22,     spark-essentials/main,   1,     1,       592,         0
2019/12/20 21:39:50,     spark-essentials/main,   1,     1,       457,        13
2019/12/20 21:40:54,     spark-essentials/main,   1,     1,       477,         0
2019/12/20 21:41:41,     spark-essentials/main,   1,     1,       415,         6
2019/12/20 21:43:24,     spark-essentials/main,   1,     1,       401,         0
2019/12/20 21:44:39,     spark-essentials/main,   1,     1,       334,         0
2019/12/20 21:47:09,     spark-essentials/main,   1,     1,       319,         8
2019/12/20 21:47:55,     spark-essentials/main,   1,     1,       371,         0
2019/12/20 21:48:40,     spark-essentials/main,   1,     1,       276,         5
2019/12/20 21:55:31,     spark-essentials/main,   1,     1,       334,        11
2019/12/20 21:57:09,     spark-essentials/main,   1,     1,       325,         0
2019/12/20 21:59:02,     spark-essentials/main,   1,     1,       345,         7
2019/12/20 22:04:28,     spark-essentials/main,   1,     1,       535,         0
2019/12/20 22:05:17,     spark-essentials/main,   1,     1,       296,         0
2019/12/20 22:45:42,     spark-essentials/main,   1,     1,      3914,       275
2019/12/20 22:47:09,     spark-essentials/main,   1,     1,      1446,         0
